day,precio
2018-05-19,23.673333333333332
2018-05-21,24.38
2018-05-24,24.709999999999997
2018-05-28,25.98
2018-05-30,23.99
2018-06-01,23.62
2018-06-02,24.307305107526883
2018-06-03,24.38
2018-06-04,24.69538461538462
2018-06-05,24.4
2018-06-06,25.14
2018-06-07,24.875
2018-06-08,24.976
2018-06-09,25.25
2018-06-11,25.21
2018-06-13,26.79
2018-06-16,26.03333333333333
2018-06-20,25.87
2018-06-21,25.59
2018-06-22,26.253333333333334
2018-06-27,27.99
2018-06-29,27.810000000000002
2018-06-30,26.3
2018-07-01,25.536272169167805
2018-07-02,25.030555555555555
2018-07-03,26.274210526315787
2018-07-04,27.085555555555555
2018-07-05,26.934285714285714
2018-07-06,26.08
2018-07-07,25.867172011661808
2018-07-08,25.488861788617886
2018-07-09,27.714709677419354
2018-07-10,26.214
2018-07-11,26.89139072847682
2018-07-12,26.240954545454546
2018-07-13,27.250999999999998
2018-07-14,27.078715953307395
2018-07-15,26.558988764044944
2018-07-16,27.638333333333332
2018-07-17,28.365
2018-07-18,28.43
2018-07-19,28.2
2018-07-21,26.89
2018-07-23,28.7825
2018-07-24,25.65
2018-07-25,28.97
2018-08-01,27.58666666666667
2018-08-02,27.009999999999998
2018-08-03,27.99
2018-08-04,25.78
2018-08-05,27.662771739130434
2018-08-06,28.340249999999997
2018-08-07,28.665366666666667
2018-08-08,26.259661016949153
2018-08-09,29.27972727272727
2018-08-10,27.26484662576687
2018-08-11,28.29
2018-08-13,33.25
2018-08-14,26.99
2018-08-15,29.0
2018-08-17,29.425
2018-08-18,29.22666666666667
2018-08-19,28.00596851471595
2018-08-20,29.62
2018-08-21,29.79
2018-08-22,29.23909090909091
2018-08-23,29.676
2018-08-24,29.27333333333333
2018-08-25,29.240000000000002
2018-08-27,27.22
2018-08-28,28.57
2018-08-29,28.15
2018-08-30,27.76
2018-08-31,28.94125
2018-09-01,28.516610398379473
2018-09-02,30.130000000000003
2018-09-03,30.49675
2018-09-04,30.88042660396372
2018-09-05,31.3664
2018-09-06,31.873333333333335
2018-09-07,31.505
2018-09-10,32.601111111111116
2018-09-11,31.675138607167003
2018-09-12,33.13818181818181
2018-09-13,32.564
2018-09-14,32.800000000000004
2018-09-17,31.23
2018-09-18,33.080000000000005
2018-09-19,34.445
2018-09-20,32.575
2018-09-27,33.8
2018-09-28,34.99
2018-09-29,34.893846153846155
2018-09-30,34.59966847090663
2018-10-01,35.54052631578947
2018-10-02,34.6545
2018-10-03,36.399
2018-10-04,36.181666666666665
2018-10-05,35.8475
2018-10-06,36.98
2018-10-07,38.9
2018-10-09,34.31
2018-10-10,33.15
2018-10-11,33.54
2018-10-16,35.59
2018-10-17,34.95
2018-10-18,35.385
2018-10-23,35.69
2018-10-25,34.42
2018-11-01,39.849999999999994
2018-11-02,38.2276
2018-11-03,36.36
2018-11-04,35.75830957230142
2018-11-05,37.160714285714285
2018-11-06,37.48500000000001
2018-11-07,36.64833333333333
2018-11-08,35.975
2018-11-10,36.178
2018-11-12,37.656
2018-11-13,34.6
2018-11-14,36.94375
2018-11-15,36.92
2018-11-16,37.315
2018-11-21,36.975
2018-11-27,37.370000000000005
2018-11-30,36.36
2018-12-02,35.29
2018-12-03,36.912939783491204
2018-12-04,37.17375
2018-12-05,37.846666666666664
2018-12-06,37.6775
2018-12-07,37.449999999999996
2018-12-08,38.31
2018-12-10,37.843333333333334
2018-12-12,37.7725
2018-12-13,36.56
2018-12-14,36.98
2018-12-17,37.59
2018-12-19,37.115
2018-12-21,37.115
2018-12-26,36.65
2018-12-27,37.115
2018-12-29,37.99
2018-12-31,37.41
2019-01-01,36.59307692307692
2019-01-02,27.45
2019-01-03,37.24
2019-01-04,36.99
2019-01-07,36.547957604306866
2019-01-08,37.470000000000006
2019-01-09,37.317692307692305
2019-01-10,36.72529411764706
2019-01-11,35.99
2019-01-14,36.54
2019-01-16,37.43
2019-01-17,36.1875
2019-01-22,37.115
2019-01-25,35.99
2019-01-26,35.99
2019-01-29,37.24
2019-02-01,36.99
2019-02-03,37.735
2019-02-04,37.6
2019-02-05,37.161531501340484
2019-02-06,38.479166666666664
2019-02-07,38.67
2019-02-08,37.5775
2019-02-09,37.196666666666665
2019-02-10,38.0
2019-02-14,37.31
